CRN,CourseName,Credit,Description,Instructor,Seats,Days,Timings,Prerequisite
23196,Applied Programming Comprehension,3,"This course examines the topic of Program Comprehension - the art of code reading, understanding, and analysis. Students will learn how to study, read, diagram, and maintain large (millions of lines of code) programs using both formal and informal techniques. The goal is to achieve comfort in approaching large, unfamiliar systems upon which some form of development or maintenance must be performed",Meredith T.,100,"Tuesday, Thrusday",1435-1555,"13355, 13357,13358,13359,13360"
23203,Adv Topic in Cloud Computing,3,"Cloud computing provides users with the ability to access and use computational, storage, and interconnect resources as services offered by cloud providers. This course provides the students with the theoretical foundations of the cloud computing as well as with hands-on experience in using various cloud technologies. Topics covered are related to the types of cloud services, cloud infrastructure, distributed storage models, and programming models offered as general services and also developed for Big Data. Topics will also include underlying technologies, such as virtualization.",Hawkey R,100,"Monday, Wednesday",1435-1725,"13355, 13357,13358,13359,13360"
23204,Lab - Adv Topic in Cloud Computing,3,"Cloud computing provides users with the ability to access and use computational, storage, and interconnect resources as services offered by cloud providers. This course provides the students with the theoretical foundations of the cloud computing as well as with hands-on experience in using various cloud technologies. Topics covered are related to the types of cloud services, cloud infrastructure, distributed storage models, and programming models offered as general services and also developed for Big Data. Topics will also include underlying technologies, such as virtualization.",Hawkey R,100,Friday,1435-1726,"13355, 13357,13358,13359,13361"
23197,Advanced Topics In Software Development,3,"This course will provide students with the fundamentals of producing high quality code in a team-based programming environment. The concepts covered in class will be implemented during the group project. After establishing the coding environment using Agile methodology; efficiently automating builds, deployment, and configuration; and integrating source control, students will learn to write clean, readable code using S.O.L.I.D principles, the proper use of cohesion and coupling, and design patterns. Other topics include establishing data, business logic and display logic boundaries; error handling and logging; refactoring; and test-driven development.",Sharma T.,100,Friday,1305-1425,Null
23198,LAB - Advanced Topics In Software Development,3,"This course will provide students with the fundamentals of producing high quality code in a team-based programming environment. The concepts covered in class will be implemented during the group project. After establishing the coding environment using Agile methodology; efficiently automating builds, deployment, and configuration; and integrating source control, students will learn to write clean, readable code using S.O.L.I.D principles, the proper use of cohesion and coupling, and design patterns. Other topics include establishing data, business logic and display logic boundaries; error handling and logging; refactoring; and test-driven development.",Sharma T.,100,Tuesday,1305-1426,Null
23199,LAB - Advanced Topics In Software Development,3,"This course will provide students with the fundamentals of producing high quality code in a team-based programming environment. The concepts covered in class will be implemented during the group project. After establishing the coding environment using Agile methodology; efficiently automating builds, deployment, and configuration; and integrating source control, students will learn to write clean, readable code using S.O.L.I.D principles, the proper use of cohesion and coupling, and design patterns. Other topics include establishing data, business logic and display logic boundaries; error handling and logging; refactoring; and test-driven development.",Sharma T.,100,Friday,1305-1427,Null
23210,Adv. Topics in Web Development,3,"This course provides a hands-on learning environment for advanced web development techniques, such as HTML5 APIs for the creation of dynamic web graphics as well as adding offline functionality to web applications, and server-side APIs for extending the back-end functionality of web applications. Advanced security, performance monitoring, and testing approaches are also covered to facilitated the creation of efficient and secure web applications. Finally, this hands-on course also highlights the importance of ethical web development principles and documentation.",Mosquera M.,100,"Tuesday, Thrusday",1005-1125,"13355, 13357,13358,13359,13360"
23211,LAB - Adv. Topics in Web Development,3,"This course provides a hands-on learning environment for advanced web development techniques, such as HTML5 APIs for the creation of dynamic web graphics as well as adding offline functionality to web applications, and server-side APIs for extending the back-end functionality of web applications. Advanced security, performance monitoring, and testing approaches are also covered to facilitated the creation of efficient and secure web applications. Finally, this hands-on course also highlights the importance of ethical web development principles and documentation.",Mosquera M.,100,Thrusday,1005-1126,"13355, 13357,13358,13359,13361"
23194,Communicating Computer Science Ideas,3,"In this course, we will focus on creating the appropriate document or presentation in a variety of situations. Emphasis will be on reducing/removing noise (anything that distracts from the message) and on increasing/adding relevance (things that reinforce understanding of the message).",Cochran A.,100,Wednesday,1125-1235,Null
23200,"Data Management, Warehousing & Analytics",3,"In this course, we will focus on three pillars for managingand analyzing data in distributed and cloud environments: Management of data in distributed systems, Data Warehousing, and Data Analytics.",Dey S.,100,"Wednesday, Friday",1605-1725,Null
23201,"LAB - Data Management, Warehousing & Analytics",3,"In this course, we will focus on three pillars for managingand analyzing data in distributed and cloud environments: Management of data in distributed systems, Data Warehousing, and Data Analytics.",Dey S.,100,Friday,1605-1726,Null
23202,"LAB - Data Management, Warehousing & Analytics",3,"In this course, we will focus on three pillars for managingand analyzing data in distributed and cloud environments: Management of data in distributed systems, Data Warehousing, and Data Analytics.",Dey S.,100,Tuesday,1605-1727,Null
23207,Mobile Computing,3,"This course covers the principles of mobile computing and the concepts and techniques underlying the design and development of mobile computing applications. Mobile computing is discussed from technological, application, and user perspectives. Topics include mobile and wireless communication technologies, development environments, applications design for resource limited and failure-prone environments, user interface issues in the mobile computing setting, and the future of mobile computing.",Meredith T.,100,"Tuesday, Thrusday",1005-1125,"13355, 13357,13358,13359,13360"
23208,LAB - Mobile Computing,3,"This course covers the principles of mobile computing and the concepts and techniques underlying the design and development of mobile computing applications. Mobile computing is discussed from technological, application, and user perspectives. Topics include mobile and wireless communication technologies, development environments, applications design for resource limited and failure-prone environments, user interface issues in the mobile computing setting, and the future of mobile computing.",Meredith T.,100,Monday,1005-1126,"13355, 13357,13358,13359,13361"
23209,LAB - Mobile Computing,3,"This course covers the principles of mobile computing and the concepts and techniques underlying the design and development of mobile computing applications. Mobile computing is discussed from technological, application, and user perspectives. Topics include mobile and wireless communication technologies, development environments, applications design for resource limited and failure-prone environments, user interface issues in the mobile computing setting, and the future of mobile computing.",Meredith T.,100,Thrusday,1005-1127,"13355, 13357,13358,13359,13362"
23195,Technology Innovation,3,"Technology Innovation combines elements of design thinking, rapid prototyping, and software development that can be used to validate ideas that could yield new technologies and new business models. The students work in interdisciplinary teams to address a Design Challenge posed by industry. The ideas advanced by teams will reflect the powerful synergies that exist between software development, design thinking and entrepreneurship.",Al-Otumi A.,100,Monday,1435-1725,"13355, 13357,13358,13359,13360"
